admin_unit,crime_count,year
ŠENTJUR PRI CELJU,611,2018
ŠKOFJA LOKA,734,2018
ŠMARJE PRI JELŠAH,779,2018
ŽALEC,1500,2018
AJDOVŠČINA,705,2019
BREŽICE,1417,2019
CELJE,3906,2019
CERKNICA,415,2019
DOMŽALE,2881,2019
DRAVOGRAD,186,2019
GORNJA RADGONA,704,2019
GROSUPLJE,2103,2019
HRASTNIK,230,2019
IDRIJA,438,2019
ILIRSKA BISTRICA,441,2019
IZOLA,700,2019
JESENICE,936,2019
KAMNIK,1204,2019
KOPER,2836,2019
KOČEVJE,1082,2019
KRANJ,2812,2019
KRŠKO,1825,2019
LAŠKO,587,2019
LENART,675,2019
LENDAVA,989,2019
LITIJA,492,2019
LJUBLJANA,29719,2019
LJUTOMER,498,2019
LOGATEC,621,2019
MARIBOR,8027,2019
METLIKA,526,2019
MOZIRJE,319,2019
MURSKA SOBOTA,7999,2019
NEZNANA OBČ,202,2019
NEZNANA UE,341,2019
NI PODATKA,1399,2019
NOVA GORICA,2036,2019
NOVO MESTO,4052,2019
ORMOŽ,373,2019
PESNICA,592,2019
PIRAN,1125,2019
POSTOJNA,887,2019
PTUJ,2296,2019
RADLJE OB DRAVI,311,2019
RADOVLJICA,1148,2019
RAVNE NA KOROŠKEM,712,2019
RIBNICA,483,2019
RUŠE,352,2019
SEVNICA,680,2019
SEŽANA,979,2019
SLOVENJ GRADEC,586,2019
SLOVENSKA BISTRICA,1132,2019
SLOVENSKE KONJICE,824,2019
TOLMIN,519,2019
TRBOVLJE,551,2019
TREBNJE,1035,2019
TRŽIČ,526,2019
VELENJE,2029,2019
VRHNIKA,929,2019
ZAGORJE OB SAVI,344,2019
ČRNOMELJ,942,2019
ŠENTJUR PRI CELJU,674,2019
ŠKOFJA LOKA,560,2019
ŠMARJE PRI JELŠAH,915,2019
ŽALEC,1352,2019
AJDOVŠČINA,568,2020
BREŽICE,1082,2020
CELJE,5066,2020
CERKNICA,302,2020
DOMŽALE,3648,2020
DRAVOGRAD,226,2020
GORNJA RADGONA,946,2020
GROSUPLJE,1746,2020
HRASTNIK,233,2020
IDRIJA,450,2020
ILIRSKA BISTRICA,383,2020
IZOLA,622,2020
JESENICE,908,2020
KAMNIK,1459,2020
KOPER,3507,2020
KOČEVJE,1350,2020
KRANJ,3039,2020
KRŠKO,1989,2020
LAŠKO,603,2020
LENART,620,2020
LENDAVA,861,2020
LITIJA,521,2020
LJUBLJANA,29196,2020
LJUTOMER,595,2020
LOGATEC,479,2020
MARIBOR,8450,2020
METLIKA,336,2020
MOZIRJE,178,2020
MURSKA SOBOTA,2182,2020
NEZNANA OBČ,101,2020
NEZNANA UE,72,2020
NI PODATKA,1143,2020
NOVA GORICA,2548,2020
NOVO MESTO,4380,2020
ORMOŽ,312,2020
PESNICA,627,2020
PIRAN,1437,2020
POSTOJNA,855,2020
PTUJ,2461,2020
RADLJE OB DRAVI,299,2020
RADOVLJICA,1078,2020
RAVNE NA KOROŠKEM,559,2020
RIBNICA,326,2020
RUŠE,411,2020
SEVNICA,416,2020
SEŽANA,750,2020
SLOVENJ GRADEC,503,2020
SLOVENSKA BISTRICA,1462,2020
SLOVENSKE KONJICE,751,2020
TOLMIN,449,2020
TRBOVLJE,743,2020
TREBNJE,903,2020
TRŽIČ,292,2020
VELENJE,2296,2020
VRHNIKA,708,2020
ZAGORJE OB SAVI,441,2020
ČRNOMELJ,1049,2020
ŠENTJUR PRI CELJU,524,2020
ŠKOFJA LOKA,808,2020
ŠMARJE PRI JELŠAH,784,2020
ŽALEC,1738,2020
AJDOVŠČINA,564,2021
BREŽICE,1992,2021
CELJE,3561,2021
CERKNICA,244,2021
DOMŽALE,2322,2021
DRAVOGRAD,205,2021
GORNJA RADGONA,589,2021
GROSUPLJE,1696,2021
HRASTNIK,166,2021
IDRIJA,283,2021
ILIRSKA BISTRICA,387,2021
IZOLA,473,2021
JESENICE,811,2021
KAMNIK,2056,2021
KOPER,2673,2021
KOČEVJE,1185,2021
KRANJ,2428,2021
KRŠKO,1540,2021
LAŠKO,492,2021
LENART,476,2021
LENDAVA,814,2021
LITIJA,425,2021
LJUBLJANA,25291,2021
LJUTOMER,414,2021
LOGATEC,423,2021
MARIBOR,6646,2021
METLIKA,355,2021
MOZIRJE,322,2021
MURSKA SOBOTA,2045,2021
NEZNANA OBČ,29,2021
NEZNANA UE,143,2021
NI PODATKA,855,2021
NOVA GORICA,1842,2021
NOVO MESTO,3544,2021
ORMOŽ,290,2021
PESNICA,698,2021
PIRAN,1188,2021
POSTOJNA,634,2021
PTUJ,1958,2021
RADLJE OB DRAVI,308,2021
RADOVLJICA,943,2021
RAVNE NA KOROŠKEM,531,2021
RIBNICA,352,2021
RUŠE,270,2021
SEVNICA,490,2021
SEŽANA,922,2021
SLOVENJ GRADEC,542,2021
SLOVENSKA BISTRICA,1158,2021
SLOVENSKE KONJICE,875,2021
TOLMIN,340,2021
TRBOVLJE,366,2021
TREBNJE,858,2021
TRŽIČ,249,2021
VELENJE,1844,2021
VRHNIKA,688,2021
